Index,Formula,Phase,Decomp,Gap,SLME,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
114,MAPb_0.75Sn_0.25I_3,Cubic,-0.02,1.41,0.15,0,0,0,1,0,0,0,0,0,0.25,0.75,0,0,1,1,0,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.18,2235,577,10.3,185,112.75,714.25,5.38,206,2.24,74,5.75,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
115,MAPb_0.75Sn_0.25I_3,Tetra,-0.01,1.66,0.15,0,0,0,1,0,0,0,0,0,0.25,0.75,0,0,1,0,1,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.18,2235,577,10.3,185,112.75,714.25,5.38,206,2.24,74,5.75,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
116,MAPb_0.75Sn_0.25I_3,Ortho,-0.07,1.55,0.15,0,0,0,1,0,0,0,0,0,0.25,0.75,0,0,1,0,0,1,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.18,2235,577,10.3,185,112.75,714.25,5.38,206,2.24,74,5.75,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
117,FAPb_0.25Sn_0.75I_3,Cubic,-0.69,1.22,0.15,0,0,0,0,1,0,0,0,0,0.75,0.25,0,0,1,1,0,0,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.16,2665,529,8.31,141,118.25,710.75,6.59,262,2.05,58,5.25,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
118,FAPb_0.25Sn_0.75I_3,Hex,-0.69,1.21,0.15,0,0,0,0,1,0,0,0,0,0.75,0.25,0,0,1,0,0,0,1,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.16,2665,529,8.31,141,118.25,710.75,6.59,262,2.05,58,5.25,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
119,FAPb_0.5Sn_0.5I_3,Cubic,-0.65,1.29,0.16,0,0,0,0,1,0,0,0,0,0.5,0.5,0,0,1,1,0,0,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.17,2450,553,9.3,163,115.5,712.5,5.98,234,2.15,66,5.5,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
120,FAPb_0.5Sn_0.5I_3,Hex,-0.64,1.28,0.15,0,0,0,0,1,0,0,0,0,0.5,0.5,0,0,1,0,0,0,1,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.17,2450,553,9.3,163,115.5,712.5,5.98,234,2.15,66,5.5,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
121,FAPb_0.75Sn_0.25I_3,Cubic,-0.59,1.53,0.15,0,0,0,0,1,0,0,0,0,0.25,0.75,0,0,1,1,0,0,0,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.18,2235,577,10.3,185,112.75,714.25,5.38,206,2.24,74,5.75,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
122,FAPb_0.75Sn_0.25I_3,Hex,-0.58,1.38,0.15,0,0,0,0,1,0,0,0,0,0.25,0.75,0,0,1,0,0,0,1,2.53,319,354,1.1,45.1,8.6,849,6.5,29,2.57,91,8,1.18,2235,577,10.3,185,112.75,714.25,5.38,206,2.24,74,5.75,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
123,MAPbI_2.5Br_0.5,Cubic,0.03,1.79,0.15,0,0,0,1,0,0,0,0,0,0,1,0,0.17,0.83,1,0,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2020,601,11.3,207,110,716,4.77,178,2.33,82,6,2.16,437,366.83,4.63,119.15,300,1031.67,7.35,19.87,2.71,50,4.83
